L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Hardware,one of the ISP servers usage peaking at 100% usage,one of the ISP servers usage peaking at 100% usage,,,
Hardware,"From a check it is not possible to open it from interface or at least to reach the server in RDP.

I ask you to check and if necessary a restart of the VM from VSphere interface, contact me.",The Inspace image server has again problems.,,,
Hardware,Workstation not opening,Workstation not opening,,,
Hardware,WeChat?05R/IntelliSpace Portal Solutions/Disk issues,WeChat?05R/IntelliSpace Portal Solutions/Disk issues,,,
Hardware,ISP system is not switching On,ISP system is not switching On,,,
Hardware,Unable to write CD,Unable to write CD,,,
Hardware,Having to reboot server several times a day.,Having to reboot server several times a day.,,,
Hardware,Workstation not opening,Workstation not opening,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,SPO2 reading is not appearing,SPO2 reading is not appearing,,,
Hardware,CD writer not functioning,CD writer not functioning,,,
Hardware,02N/IntelliSpace IX/LX Workstations/add printer,02N/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,ISP and Main system mouse not functioning,ISP and Main system mouse not functioning,,,
Hardware,05R/IntelliSpace IX/LX Workstations/host computer can't be turned on,05R/IntelliSpace IX/LX Workstations/host computer can not be turned on,,,
Hardware,05R/IntelliSpace Portal Solutions//Need part,05R/IntelliSpace Portal Solutions//Need part,,,
Hardware,05K/IntelliSpace IX/LX Workstations/recorder failed,05K/IntelliSpace IX/LX Workstations/recorder failed,,,
Hardware,DVD writer not working,DVD writer not working,,,
Hardware,SA?05R/Extended Brilliance Workspace/keyboard failure,SA?05R/Extended Brilliance Workspace/keyboard failure,,,
Hardware,WeChat?05R/Extended Brilliance Workspace/Mouse and keyboard fault,WeChat?05R/Extended Brilliance Workspace/Mouse and keyboard fault,,,
Hardware,SA:01/IntelliSpace Portal Concerto/Equipment failure,SA:01/IntelliSpace Portal Concerto/Equipment failure,,,
Hardware,Keyboard is not functioning,Keyboard is not functioning,,,
Hardware,SA:02N/IntelliSpace IX/LX Workstations/connect,SA:02N/IntelliSpace IX/LX Workstations/connect,,,
Hardware,ISP mouse not functioning,ISP mouse not functioning,,,
Hardware,ISP DVD writer not functioning,ISP DVD writer not functioning,,,
Hardware,Disk recorder failure in the computer,The computer recorder fails,,,
Hardware,CD/DVD writer not functioning,CD/DVD writer not functioning,,,
Hardware,DVD writer is not functioning,DVD writer is not functioning,,,
Hardware,Mouse failure,Mouse ar; zas?,,,
Hardware,ISP mouse not functioning,ISP mouse not functioning,,,
Hardware,WeChat?SA:02N/IntelliSpace IX/LX Workstations/PC failure,WeChat?SA:02N/IntelliSpace IX/LX Workstations/PC failure,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/monitor fault,SA:05R/IntelliSpace Portal Solutions/monitor fault,,,
Hardware,WeChat?01/IntelliSpace IX/LX Workstations/LCD,WeChat?01/IntelliSpace IX/LX Workstations/LCD,,,
Hardware,Client PC power supply not coming,Client PC power supply not coming,,,
Hardware,"User can log in, but no drive are opened no matter what server is the choos.
Original Text:
It can be logged into the program, but no drives are made. It doesn't matter which server is logged on.
Erik H?gh-Schmidt, Bispebjerg Hospital, R?ntgen Department, Phone: 30326953",No drives available,,,
Hardware,SA:01/Extended Brilliance Workspace/Mouse fault,SA:01/Extended Brilliance Workspace/Mouse fault,,,
Hardware,paper printer needs to install,paper printer needs to install,,,
Hardware,AVA failing creating bug report,AVA failing creating bug report,,,
Hardware,It's not recording CDs and there is no communication with the network.,Is not recording CD and without communication with network,,,
Hardware,"On behalf of Al Dhafra Hospitals, BIOMEDICAL ENGINEERING SECTION,
One Health company is proud to announce the new Biomedical Maintenance Contract with Al Dhafra Hospitals / SEHA, committed to provide a comprehensive support and service for all medical equipment in ADHs and its primary health care clinics, We look forward to your kind support to promote the high performance and best services at all times. 
 
Please see the corrective maintenance notification for the below Medical Equipment supplied to Al Dhafra ( MADINAT  ) Hospital for your immediate action.

WORKSTATION COMPUTER (INTELLISPACE PORTAL) NOT WORKING

Mr. Muhammed Nisar  ?  0569984536",CM/5-MAY-23/ADH-ZH-RA/COMPUTED TOMOGRAPHY SCANNER (COMPLETE SYSTEM)/PHILIPS/CT 6000...,,,
Hardware,THE WORKSTATION UPS DOES NOT WORK,NO FUNCIONA LA CPU DE LA WORKSTATION,,,
Hardware,wechat?01/IntelliSpace IX/LX Workstations/stuck,wechat?01/IntelliSpace IX/LX Workstations/stuck,,,
Hardware,02N/IntelliSpace IX/LX Workstations/transfer,02N/IntelliSpace IX/LX Workstations/transfer,,,
Hardware,Workstation is hanging,Workstation is hanging,,,
Hardware,The WS is not recording CD's.,NO records CD's,,,
Hardware,"The server does not restart itself, it only requires connecting an external keyboard.",The server does not restart Sam only requires an external keyboard is,,,
Hardware,The workstation fan on the tower is making a loud noise.,The workstation fan on the tower is making a loud noise.,,,
Hardware,"Dear Support,
 
 
My name is Joe Billings reaching out from Aneurin Bevan Health Board.
 
Server: 7A6AUSRVGAMCAM1 Serial No:702131
 
I am reaching out to log a call with your support desk. We have a system running an application called ?Jetpack? that is not currently functional. The portal has service has been re-started, however a number of our users are unable to scan from the Philips Gam Cam Server.
 
Issue: Program for doing gamma camera scanner - Jetpack is application name, error code : can't connect from the modality.
 
Spoke to engineer - He believes the Phillips portal needs restarting - Which is apparently in our server room (already performed)
 
Can this be looked into please, or could someone speak to myself regarding this issue. I have included my contact details should you wish to contact myself below:
 
07903 811882
 
 
Cofion cynnes/Kind Regards
 
Joseph Billings",ISP V11 - Aneurin Bevan Health Board - Server: 7A6AUSRVGAMCAM1 Serial No:702131 (Urgent),,,
Hardware,THE COMPUTER MOUSE DOES NOT WORK,The computer mouse doesn't work,,,
Hardware,ISP not working properly,ISP not working properly,,,
Hardware,DVD writer not working,DVD writer not working,,,
Hardware,Keyboard and Cursor is not functioning,Keyboard and Cursor is not functioning,,,
Hardware,05K/IntelliSpace IX/LX Workstations/burn slow,05K/IntelliSpace IX/LX Workstations/burn slow,,,
Hardware,02N/Upgrades IntelliSpace IX/LX WrkStns/Print fault,02N/Upgrades IntelliSpace IX/LX WrkStns/Print fault,,,
Hardware,UPS battery replacement,UPS battery replacement,,,
Hardware,05R/Extended Brilliance Workspace/burner fault,05R/Extended Brilliance Workspace/burner fault,,,
Hardware,CD  writer is not working,CD  writer is not working,,,
Hardware,EBW is not functioning,EBW is not functioning,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/SW problem,SA:05R/IntelliSpace Portal Solutions/SW problem,,,
Hardware,WeChat?02N/IntelliSpace IX/LX Workstations/software report error,WeChat?02N/IntelliSpace IX/LX Workstations/software report error,,,
Hardware,05R/IntelliSpace Portal Solutions/keyboard fault,05R/IntelliSpace Portal Solutions/keyboard fault,,,
Hardware,05K For IB/IntelliSpace Portal Solution/client cannot power up,05K For IB/IntelliSpace Portal Solution/client cannot power up,,,
Hardware,"05K FOR IB/	IntelliSpace IX/LX Workstations/bug report collect prompt","05K FOR IB/	IntelliSpace IX/LX Workstations/bug report collect prompt",,,
Hardware,05R/Extended Brilliance Workspace/RECORDER,05R/Extended Brilliance Workspace/RECORDER,,,
Hardware,Machine is getting hanged unable to do processing and reporting server issue,Machine is getting hanged unable to do processing and reporting server issue,,,
Hardware,Machine is not getting on,Machine is not getting on,,,
Hardware,IT RESTARTS EVERY DAY,It restarts every day,,,
Hardware,05R/Extended Brilliance Workspace/Blue screen,05R/Extended Brilliance Workspace/Blue  screen,,,
Hardware,05R/IntelliSpace Portal Solutions/power down,05R/IntelliSpace Portal Solutions/power down,,,
Hardware,01/IntelliSpace IX/LX Workstations/add printer,01/IntelliSpace IX/LX Workstations/add printer,,,
Hardware,05R/Extended Brilliance Workspace/mouse,05R/Extended Brilliance Workspace/mouse,,,
Hardware,01/IntelliSpace Portal Solutions/mouse fault,01/IntelliSpace Portal Solutions/mouse fault,,,
Hardware,"The ""CT Viewer"" item replaced by the ""Cardiac Viewer"" item disappeared from the console in the subject line. Philips Technician Mr. Angelo (3485651964) is aware of the problem.",Ebw reconstructor,,,
Hardware,Wechat:05R/IntelliSpace IX/LX Workstations,Wechat:05R/IntelliSpace IX/LX Workstations,,,
Hardware,Failure in the DVD burner.,DVD FRAVATOR FAILURE,,,
Hardware,Extended Brilliance Workspace,Extended Brilliance Workspace,,,
Hardware,Mouse Problem,Mouse Problem,,,
Hardware,WeChat?05K FOR IB/IntelliSpace IX/LX Workstations,WeChat?05K FOR IB/IntelliSpace IX/LX Workstations,,,
Hardware,ISP workstation operation failure,YY:ISP?????????????,,,
Hardware,WeChat?05R/Extended Brilliance Workspace/crash,WeChat?05R/Extended Brilliance Workspace/crash,,,
Hardware,05R/Extended Brilliance Workspace/system too slow,05R/Extended Brilliance Workspace/system too slow,,,
Hardware,05R/IntelliSpace IX/LX Workstations/nemo DVDRW,05R/IntelliSpace IX/LX Workstations/nemo DVDRW,,,
Hardware,05R/IntelliSpace IX/LX Workstations//DVD record fault,05R/IntelliSpace IX/LX Workstations//DVD record fault,,,
Hardware,WECHAT:02N/IntelliSpace IX/LX Workstations/print error,WECHAT:02N/IntelliSpace IX/LX Workstations/print error,,,
Hardware,SA:01/IntelliSpace IX/LX Workstations/print error,SA:01/IntelliSpace IX/LX Workstations/print error,,,
Hardware,keyboard is not working properly of ISP client,keyboard is not working properly of ISP client,,,
Hardware,Mouse is not working properly of ISP client,Mouse is not working properly of ISP client,,,
Hardware,Monitor needs to be replaced per Physicist,Q/O,,,
Hardware,DISK IS FULL,Full disc,,,
Hardware,THE SYSTEM CANNOT BE STARTED,NO SE PUEDE INICIAR EL SISTEMA,,,
Hardware,SA?01/IntelliSpace IX/LX Workstations/DVD RW fault,SA?01/IntelliSpace IX/LX Workstations/DVD RW fault,,,
Hardware,SA:01/IntelliSpace Portal Solutions/Installing a burner,SA:01/IntelliSpace Portal Solutions/Installing a burner,,,
Hardware,05R/IntelliSpace Portal Solutions/client cannot power up,05R/IntelliSpace Portal Solutions/client cannot power up,,,
Hardware,05R/IntelliSpace Portal Solutions/cannot film,05R/IntelliSpace Portal Solutions/cannot film,,,
Hardware,WeChat?01/IntelliSpace IX/LX Workstations/print failed,WeChat?01/IntelliSpace IX/LX Workstations/print failed,,,
Hardware,ISP DVD writer not functioning and Unable to transfer to ISP,ISP DVD writer not functioning and Unable to transfer to ISP,,,
Hardware,Has bad keyboard.,0998CDN8CS09  Has bad keyboard.,,,
Hardware,SA:05R/Extended Brilliance Workspace/cann't print image,SA:05R/Extended Brilliance Workspace/cann't print image,,,
Hardware,Wechat:01/IntelliSpace IX/LX Workstations/cann't print,Wechat:01/IntelliSpace IX/LX Workstations/cann't   print,,,
Hardware,05R/Extended Brilliance Workspace/The computer cannot be turned on,05R/Extended Brilliance Workspace/The computer cannot be turned on,,,
Hardware,05R/IntelliSpace IX/LX Workstations/stuck,05R/IntelliSpace IX/LX Workstations/stuck,,,
Hardware,EBW DVD writer not functioning,EBW DVD writer not functioning,,,
Hardware,The reporting monitor does not turn on anymore. Tried to start but it does not work.,Refiring monitor does not turn on more,,,
Hardware,EBW monitor is not getting on,EBW monitor is not getting on,,,
Hardware,Workstation VRC is not functioning,Workstation VRC is not functioning,,,
Hardware,"Operation is s heavy.When I checked the server, two of the four server manager menus were red.>> when I checked it remotely, everything was green.After that, the operation improved.Wait.",01CS:KK:???????Server??????Server manager?4?????????2??????????>>???????????????????????????????????????,,,
Hardware,01/Extended Brilliance Workspace/RECORDER FAULT,01/Extended Brilliance Workspace/RECORDER FAULT,,,
Hardware,Wechat:05R/IntelliSpace IX/LX Workstations/Image printing failure,Wechat:05R/IntelliSpace IX/LX Workstations/Image printing failure,,,
Hardware,05R/Extended Brilliance Workspace/burner fault,05R/Extended Brilliance Workspace/burner fault,,,
Hardware,05R/IntelliSpace IX/LX Workstations/print failed,05R/IntelliSpace IX/LX Workstations/print failed,,,
Hardware,SA:05R/IntelliSpace Portal Solutions/DVD record failed,SA:05R/IntelliSpace Portal Solutions/DVD record failed,,,
Hardware,Non-functional overfedch.,DOBUCCI prefetch,,,
Hardware,05R/Extended Brilliance Workspace/print failed,05R/Extended Brilliance Workspace/print failed,,,
Hardware,ISP CD  is burning,ISP CD not  is burning,,,
Hardware,"Good morning, we are not succeeding in printing from portal, tried on several clients, the printing tool is not accessible.",Portal print,,,
Hardware,Getting intermittent report score score instead of numeric value,Getting intermittent report score score instead of numeric value,,,
Hardware,ISP is off,ISP is off,,,
Hardware,follow up activity for case 41444369 to investigate the root cause of this incident,ISP concerto server 3 incident: log analysis and investigation,,,
Hardware,ISP generating bug reports in reporting - The bug rep time is 11:03am est,ISP generating bug reports in reporting - Please loop in Philips Employee Evelyn roehr,,,
Hardware,Mouse is not functioning in ISP system,Mouse is not functioning in ISP system,,,
Hardware,Change of IP address on the ISP server.,Changing IP address ISP server,,,
Hardware,Problem on a workstation. Windows message: uninstal and re-install the portal application. The error messages disappeared except slow-down and frizz of the perciste application.,problem at a workstation,,,
Hardware,05R/IntelliSpace Portal Solutions/move isp,05R/IntelliSpace Portal Solutions/move  isp,,,
Hardware,Equipment has problems with RAM memories.,Server is restarted daily,,,
