PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
3479604,Image Related,Imaging and Images,Image routing,Cannot route image,02N/IntelliSpace IX/LX Workstations/Image transfer failed,02N/IntelliSpace IX/LX Workstations/Image transfer failed,A
3480676,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Borrous study in multimodaly viewer,"Blurry study in Multimodality viewer
From the CHV center, they tell us that a study that can be seen in the PACS perfectly, when they see it from ISP it looks blurry. From support we validated that indeed the images using the Multimodality Viewer are blurry.",A
3486063,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",User that when connecting from home remote does not let the program maximize to see the images well,"Reported problem: User says that when it is connected from home remotely, it does not allow maximizing the program to see the images well, IP10.35.56.213
When did the failure happen? For days 
When will the equipment be available for intervention? What is the best day or time?: As soon as
Was the equipment in clinical use when the failure occurred?: Yes
Location of the equipment: X-ray service of general residence",A
3493175,Image Related,Imaging and Images,Image routing,Cannot route image,Transfer problem,Problem transferring images from the ISP to the Vision console.,A
3496334,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/image transfer fail,05R/IntelliSpace IX/LX Workstations/image transfer fail,A
3497436,Image Related,Imaging and Images,Image routing,Cannot migrate study and/or migration filters,The opening of the portal through the PACS and the images that are not of Philips teams are not sent to the premises,"The opening of the portal through PACS does not work and the images that are not from Philips equipment are not sent to local. 
It happened last week, yesterday it was ok and today it happens again.",A
3498580,Image Related,Imaging and Images,"Image acquisition, editing",Image orientation incorrect or flipped,ISP12 AVA Customer claim that orthogonal view of centerline locator is showing a flipped (R-L) view in that viewport,into,A
3501453,Image Related,Imaging and Images,Image routing,Cannot route image,05R/IntelliSpace IX/LX Workstations/can not receive images,05R/IntelliSpace IX/LX Workstations/can't receive images,A
3502479,Image Related,Imaging and Images,Image routing,Cannot migrate study and/or migration filters,WECHAT:SA:01/IntelliSpace Portal Solutions/PACS image cannot be returned,WECHAT:SA:01/IntelliSpace Portal Solutions/PACS image cannot be returned,A
3502752,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",In the report generated by Dynacad the images come out in black,"In the report generated by DynaCAD, the images are black",A
3504972,Image Related,Imaging and Images,Image routing,Cannot migrate study and/or migration filters,SA:OCAP:05L/IntelliSpace Portal Solutions/can not receive images,SA:OCAP:05L/IntelliSpace Portal Solutions/can't receive images,A
3113940,Others,Usability (Ease of use),User interface or workflow not supported by system,Cannot find what I need,User is asking for clarification regarding authentication protocols,User is asking for clarification regarding authentication protocols,A
3256917,Others,Usability (Ease of use),User interface or workflow not supported by system,Cannot find what I need,ISP12: AVA when auto bone removal fails user can't access bone removal drop down as it was before.,into,A
3258391,Others,Usability (Ease of use),User interface or workflow not supported by system,Cannot find what I need,Cannot find slices error  CTV,Cannot find slices error  CTV,A
3263120,Others,Audio & Sounds,Speaker or intercom,Speaker or intercom sound not functioning correctly (distorted audio) or works intermittently,SA?05R/IntelliSpace Portal Solutions/Abnormal noise during restart,SA?05R/IntelliSpace Portal Solutions/Abnormal noise during restart,A
3308870,Others,Usability (Ease of use),User interface or workflow not supported by system,Too complex or confusing,AV AVW15 QFlow The same Probe ICON used for Velocity values and for defining ROI,into,A
2854210,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),01/IntelliSpace Portal Solutions/can't run,01/IntelliSpace Portal Solutions/can't run,A
2854303,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",02N/IntelliSpace IX/LX Workstations/Connection network,02N/IntelliSpace IX/LX Workstations/Connection network,A
2854326,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),05RIntelliSpace IX/LX Workstations/software problem,05RIntelliSpace IX/LX Workstations/software problem,A
2855268,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,the system software is crushed and not getting the login window,the system software is crushed and not getting the login window,A
2855658,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,Workstation installation (present but not installed).,Installation of workstation (present but not installed).,A
2855691,Software,"Data, Measurements, Monitoring","Incorrect, inaccurate or inconsistent data, information report or exam","Incorrect, misaligned or missing units, labels, markers, coloration or tags",Problems with the color scaling of perfusion cards,"Forwarded email from Ms. Kusch:

Hello Ms. Bovenkerk and Ms. Kusch,

First I would like to wish you a happy New Year 2023.

Unfortunately we have problems again with the transmission of the remaining perfusion card and its color scaling in Sectra. The CBV and CBF are displayed as in the IntelliSpace, with the remaining cards (MTT and TTP), the color is the same as initially with the first-called cards. Maybe you could take on the problem again.

Please feel free to contact me at any time for questions.

Kind regards,

Dr. S. Banschbach",A
2856099,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,bug report error,bug report error,A
2856527,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",01/IIntelliSpace IX/LX Workstations/Workstation Add Project,01/IIntelliSpace IX/LX Workstations/Workstation Add Project,A
2856814,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not import,Local and Information Pools cannot be used,Data cannot be pulled from the local and information settings.,A
2856951,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not stored or missing data, portion of data or did not provide result",loss of certain log,Request to retrieve the doctor's log.,A
2856968,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not import,"PACS studies cannot import, or send reconstruction or key images that make in the post-process","They cannot import studies from PACS, or send reconstructions or key images that they do in post-processing.",A
2857189,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,The point of the password does not proceed,"When entering the password, it does not let us proceed, it reports ""sign out"".",A
2857330,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",Windows server update,Updated the Windows server.,A
2857341,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Data is not  transferring,Data is not  transferring,A
2857390,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,EBW System is not booting up,EBW System is not booting up,A
2857461,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Alert in monitoring system,"Alert in monitoring system, it is consuming almost all the RAM",A
2857464,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Si blocca il software.,The software gets blocked.,A
2857570,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Unable to connect to the account,Impossible to connect to the account of a doctor.,A
2857668,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,RSN,RSN,A
2857770,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,CT Portal Workspace? with admin?,"CT portal workspace in the report room wants password. We could enter it without passwords before. We also wanted to open the admin password and open patient data, but we experienced problems.",A
