PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5513769,Complaint,Unable to transfer data,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,Software,Connectivity Issue,
5513849,Complaint,Unable to view images in EBW,Image Related,Imaging and Images,Cannot view or access image(s),into,ICAP-CT Viewer,Functional - Performance,
5513877,Complaint,"Intellispace Portal, The radiologists say they have problems again when processing images, jumps. and slowness.",Image Related,Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Confirmed,Restart resolved,
5514052,Complaint,MR Dataset not processing with MR T2 perfusion app,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,ICAP-MR T2* (Neuro) Perfusion,Functional - Performance,
5514165,Complaint,"WHEN A SUMMARY PLATE NEEDS TO BE PRESSED AGAIN FROM THE PRINT HISTORY, IT IS DELETED WHEN DOUBLE CLICKING IT AND BEFORE",Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data not stored or missing data, portion of data or did not provide result",EDI - Study Management,Not Printing/Faxing,
5514176,Complaint,ISP12 NM Gastric Emptying not able to load data of 2 and 4 hour intervals scans,Image Related,Imaging and Images,Cannot view or access image(s),into,,,
5514210,Complaint,LITTLE STORAGE IN LOCAL DISK,Hardware,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Database,Database Full/Corrupt,
5514346,Complaint,02N/Upgrades IntelliSpace IX/LX WrkStns/Image printing failed,Others,Duplicate Complaint,Duplicate Complaint,into,,,
5514361,Complaint,"After installing the demo license for 08CS:FN:PET, I was automatically logged off.",Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,,,
5514364,Complaint,Image printing failed,Hardware,"Device, System or Product Hardware","Peripherals (including printers)- not functioning, poor printing quality, not compatible",Printing quality not as expected,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5514606,Complaint,System not booting,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Corrupt/Crashed,
5514889,Complaint,01DS:KK:Can't log in from client.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,ICAP-Hardware,Computer,
5514900,Complaint,05R/IntelliSpacePortalSolutions//Application Problem,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5514943,Complaint,05R/IntelliSpace Portal Solutions/cannot login,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Server,Restart resolved,
5515166,Complaint,Client PC won't power up,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Main Power Supply,Power Cable - Faulty/Damaged,
5515387,Complaint,Lack of connectivity between our platforms and modalitys,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)",into,,,
5515611,Complaint,ISP12 MR T1 perfusion dynamics of ultrafast dynamic sequences of breast study almost black due to the applicated mask,Image Related,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",ICAP-MR T1 Perfusion Analysis,Functional - Correctness (Reproducibility/Accuracy),
5515736,Complaint,Memory is full. Auto delete is not working.,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Confirmed,Restart resolved,
5515827,Complaint,ISP system DVD writer is not functioning,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD),
5516005,Complaint,ISP11 MR Cardiac not calculating the data although the weight and height have been input correctly,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",Unable to Confirm/Replicate Allegation,Unable to determine cause - Insufficient information,
5516094,Complaint,Creating personal hangings in MR cardiac Functional RV/LV,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",,,
5516102,Complaint,Unable to open multi-modality viewer and Getting no certificate found error,Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate,
5516113,Complaint,Portal Certificate error,Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate,
5516143,Complaint,"Connection problems with portal, credentials not accepted.",Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer,
5516162,Complaint,AVW15 cannot open Whole Heart application in MR Cardiac Suite,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,,
5516178,Complaint,Provide Support for more than 8 characters passwords to service accounts during AVW Installs (12 chars and above),Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,,,
5516392,Complaint,Enhancement Request_AVA: automatic send MIP+bone removal to PACS,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,,
5516410,Complaint,"New MS Santiago de Compostela, they asked to configure portal",Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Software,Software/Firmware Settings and Configuration,
5516442,Complaint,"Problem with installation of client at 172.20.41.91, contact Jacopo. Possible to connect remotely from server in RDP",Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,,,
5516664,Complaint,It is not possible to log in on the descriptive station.,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,Compatibility,Third Party SW Not Compatible,
5516889,Complaint,"Performance issues, the system was very slow in reconstructing data",Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Software,Software Issues (e.g. bugs),
5517462,Complaint,User getting certificate error,Software,"Software, OS or firmware","Expired or no software license, certificate, or cannot activate credentials",into,License/Certificate,Certificate,
5518115,Complaint,GPO after enforcement slows down the computer and causes it to become unresponsive,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,,,
5518406,Complaint,Wechat:05R/EBW/boot up failed,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software Issues (e.g. bugs),
5518443,Complaint,02N/IntelliSpace IX/LX Workstations/SW problem,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Configuration,Configuration Issues,
5518478,Complaint,"OCAP:05R/IntelliSpace Portal Solutions/Dicom problem, ICAP workstation couldn't retrieve PACS image data",Image Related,Imaging and Images,Image routing,Cannot route image,Non-Philips Product/ Accessories,Non- Philips Product,
5518523,Complaint,05R/IntelliSpace Portal Solutions/not enough disk space,Hardware,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-Hardware,Disk Drive,
5518671,Complaint,ISP software is not functioning,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software,Software Issues (e.g. bugs),
